"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","74","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","52","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","44","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","931","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","35","1","0.000000","0","0"
"/Game/Team8_Vehicles/FinalCar/Materials/Windows.Windows","0","0","24","1","0.000000","0","0"
"/Game/Team8_Vehicles/FinalCar/Materials/TiresCenter.TiresCenter","0","0","24","1","0.000000","0","0"
"/Game/Team8_Vehicles/FinalCar/Materials/Tires.Tires","0","0","24","1","0.000000","0","0"
"/Game/Team8_Vehicles/FinalCar/Materials/Material_001.Material_001","0","0","24","1","0.000000","0","0"
"/Game/Team8_Vehicles/FinalCar/Materials/Lamp2.Lamp2","0","0","24","1","0.000000","0","0"
"/Game/Team8_Vehicles/FinalCar/Materials/Lamp.Lamp","0","0","24","1","0.000000","0","0"
"/Game/Team8_Vehicles/FinalCar/Materials/Detail.Detail","0","0","24","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","0","40","1","0.000000","0","0"
"/Game/Team8_Materials/KyberPurpleMaterial.KyberPurpleMaterial","0","0","24","1","0.000000","0","0"
"/Game/Team8_Materials/KyberChromeMaterial.KyberChromeMaterial","0","0","33","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","0","30","1","0.000000","0","0"
"/Game/Vehicle/Sedan/Materials/M_Vehicle_Sedan.M_Vehicle_Sedan","0","0","78","2","0.000000","0","0"
"/Game/Team8_Materials/KyberAsphaltMaterial.KyberAsphaltMaterial","0","0","24","1","0.000000","0","0"
"/Game/Team8_Meshes/Material_001.Material_001","0","0","12","1","0.000000","0","0"
"/Game/Team8_Materials/KyberRedMaterial.KyberRedMaterial","0","0","12","1","0.000000","0","0"
"/Game/Team8_Materials/KyberGreenMaterial.KyberGreenMaterial","0","0","12","1","0.000000","0","0"
"/Game/Team8_Materials/KyberBlueMaterial.KyberBlueMaterial","0","0","24","1","0.000000","0","0"
"/Water/Materials/WaterSurface/Water_Material.Water_Material","0","0","786","6","0.000000","0","0"
"/Water/Materials/PostProcessing/M_UnderWater_PostProcess_Volume.M_UnderWater_PostProcess_Volume","0","0","12","1","0.000000","0","0"
"/Game/Team8_Materials/KyberEarthMaterial.KyberEarthMaterial","0","0","24","1","0.000000","0","28"
"/Game/GoodSky/Source/Materials/M_GoodSky_Storm.M_GoodSky_Storm","0","0","2","1","0.000000","0","0"
"/Game/GoodSky/Source/Materials/M_GoodSky_Base.M_GoodSky_Base","0","0","2","1","0.000000","0","0"
"/Game/GoodSky/Source/ArrowTool/M_GoodSky_Sun_Emissive.M_GoodSky_Sun_Emissive","0","0","8","1","0.000000","0","0"
"/Game/GoodSky/Source/Materials/M_GoodSky_Sun_Stars_Moon.M_GoodSky_Sun_Stars_Moon","0","0","2","1","0.000000","0","0"
"/Game/GoodSky/Source/Materials/M_GoodSky_Sun_Stars.M_GoodSky_Sun_Stars","0","0","2","1","0.000000","0","0"
"/Game/GoodSky/Source/Materials/M_GoodSky_Moon.M_GoodSky_Moon","0","0","2","1","0.000000","0","0"
"/Water/Materials/Brushes/MeshBrush_Width.MeshBrush_Width","0","0","2","1","0.000000","0","0"
"/Water/Materials/Brushes/MeshBrush_Weightmap.MeshBrush_Weightmap","0","0","2","1","0.000000","0","0"
"/Water/Materials/Brushes/MeshBrush_Island.MeshBrush_Island","0","0","2","1","0.000000","0","0"
"/Water/Materials/Brushes/MeshBrush_Angle.MeshBrush_Angle","0","0","2","1","0.000000","0","0"
"/Water/Materials/Brushes/FinalizeWaterTexture.FinalizeWaterTexture","0","0","8","1","0.000000","0","0"
"/Water/Materials/Brushes/CompositeWaterBodyTexture.CompositeWaterBodyTexture","0","0","8","1","0.000000","0","0"
"/Water/Materials/Brushes/CanvasDrawing.CanvasDrawing","0","0","10","1","0.000000","0","0"
"/Landmass/Landscape/BlueprintBrushes/Materials/RenderSplineDepths.RenderSplineDepths","0","0","4","1","0.000000","0","0"
"/Landmass/Landscape/BlueprintBrushes/Materials/CacheDistanceField.CacheDistanceField","0","0","8","1","0.000000","0","0"
"/Landmass/DistanceFields/Materials/JumpFloodStep.JumpFloodStep","0","0","8","1","0.000000","0","0"
"/Landmass/DistanceFields/Materials/DetectEdges.DetectEdges","0","0","8","1","0.000000","0","0"
"/Landmass/DistanceFields/Materials/BlurEdges.BlurEdges","0","0","8","1","0.000000","0","0"
"/Game/Team8_Materials/PinkGlassMaterial.PinkGlassMaterial","0","0","114","1","0.000000","0","0"
"/Game/Team8_Materials/Cyber_arrow_banner.Cyber_arrow_banner","0","0","70","1","0.000000","0","0"
